1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88
.	selects output gain of pedal from +20dB to -100dB	@# of outputs 	.	.	.	determines which controller # the module will send control change message to	determines which MIDI channel the module will send to	sends played note on/off status through selected MIDI channel	select the desired behaviour of the switch. If you'd like it to stay engaged, choose latching. If you'd like it to only be engaged while pressed, choose momentary	.	.	toggles state of switch as determined by edit options	plays note when pushed, like a keyboard	.	.	@upsampling	connects output of another audio source to gain stage	*band output	@filter shape 	delays audio playback by set time	connects audio into delay line	@pan type 	outputs pitch shifted audio	connect second audio source to be balanced	audio outL	gain 2	.	connects audio to switch	connects audio to switch	determines gain of phase shift	.	multiplied audio output	determines number of bits to reduce sonic resolution by	outputs aliased audio	.	*start position	texture	amount of delay applied to audio out 2	connects audio source to be enhanced	connect another audio source	audio out	@waveform 	*queue start	decay	CV output will hold CV value at input when CV applied to trigger input	.	.	determines range of CV output from from 0 thru 1  or -1 thru 1	.	.	outputs delayed CV	*stop position	filtered CV output	outputs slew limited CV	determines time change factor of upward changes in CV	an increase in CV will cease output, a new tap tempo at the input will continue on until reset switch is triggered again	sets incoming CV negative threshold	set or connect CV source	set or connect CV source	.	outputs quantized CV	set or connect CV source	determines range of CV output from from 0 to 1  or -1 to 1	Goes high when playback is done.	sends CV trigger when incoming audio surpasses threshold	connect audio input	.	*mid gain 2	mod depth	mod depth	connect audio input	connect audio input	*ratio	*sidechain in	mix	mix	mix	mix	*output R	mix	mix	output right	tone tilt eq	*audio outR	filter Q	waveform 	connect audio input
.	.	@Priority 	.	.	.	.	.	sends played note velocity data through selected MIDI channel	"select the desired default switch state. Zero: ""Off"", One: ""On"""	.	.	select the desired behaviour of the switch. If you'd like it to stay engaged, choose latching. If you'd like it to only be engaged while pressed, choose momentary	CV output of note or frequency played	.	.	determines frequency of synthesized tone. The higher the frequency, the higher the note. Click the knob to toggle between frequency in Hz and music notes	connects output of another audio source to gain stage	connects audio source into state variable filter	connects audio source into filter	outputs delayed audio	connect CV modifier to adjust delay time in real time, complete with pitch shifting 	connects audio from source into panner	.	sets the mix. 0 is all audio in1, 50 is equal parts both inputs, 100 is all audio2	audio outR	*pan 1	.	connects audio to switch	divides value from 0-1 between number of present switch outputs and sends input audio to corresponding switch output	outputs filtered audio	.	.	outputs bit crushed audio	.	.	*loop length	speed/pitch	outputs a clean copy of the audio input	connects audio source to be enhanced	outputs bit modulated combination of both inputs	connect an audio source	@input 	CV out	sustain	.	.	.	.	.	.	.	restart loop	.	.	determines time change factor of downward changes in CV	select clock ratio from 1/32 to 32x	CV output. If CV at positive side is greater than CV at negative side, CV output will be 1. If CV at positive side is lower than CV at negative side, CV output will be 0 or  -1, depending on output range	set or connect CV source	divides value from 0-1 between number of present switch outputs and selects CV output corresponding to value present. If only one output is present, a select value of 0 will turn switch off, a select value above 0 will turn switch on.	.	.	outputs multiplied CV	.	CV rhythm output. interprets recorded loop as series of rhythmic pulses	.	determines time taken for CV to reach peak once audio is detected at input	.	*mid freq. 2	mix	mix	sets input gain of distortion. the louder the input gain, the higher the distortion factor	sets input gain of distortion. the louder the input gain, the higher the distortion factor	*sidechain in	audio outL	output L	output L	output L	audio out1	connect audio input	output left	output left	control	mix	control 	audio out1	@upsampling 	connect second audio input
.	.	@Greedy 	.	.	.	.	.	determines which MIDI channel the module will send to	.	.	.	select the desired default switch state between zero and one. remember that your connection strength can help you achieve values in between.	CV output of played note on/off status	.	.	 allows you to connect another oscillator or audio source to modulate the oscillator's frequency. 	controls the gain of the output signal	determines cutoff frequency of filter	determines gain of filter notch for hi shelf, low shelf, and bell filters	select maximum delay time from 100ms to 16s	Connect CV for tap input. Try a clock divider connected to a stompswitch module to give your tapped tempo a ratio.	connects audio from source into panner	.	balanced audio output	connect audio source to be balanced (left)	*pan 2	.	divides value from 0-1 between number of present switch inputs and selects audio source corresponding to value present	sends audio from input source if chosen by switch parameter	selects quantity of poles phase shifting will augment, 1 through 8	.	.	allows you to adjust quantity of bits crushed by non-whole numbers	.	.	*reverse	freeze	outputs a delayed copy of the audio input as determined by delay time	adds or subtracts gain from phase inverted audio 1	select the flavour of your bit modulation between and, or, and xor. best not to think about it.	sets gain of delayed audio sent back to input as a feedback loop	sets the frequency at which the LFO oscillates (trigger in: calculates rate of LFO via incoming CV input)	*gate out	*hold S/R	.	.	.	.	.	.	.	cv output	.	.	outputs slew limited CV	tap tempo CV output	determines range of CV output from from 0 thru 1  or -1 thru 1	divides value from 0-1 between number of present switch inputs and selects CV source corresponding to value present	if selected, outputs CV input	.	.	Select how many sources you'd like to multiply together from 2-8. Each value above 2 will add a corresponding input jack.	.	triggers playback of rhythm	.	determines time taken for CV to reach zero once audio is no longer detected at input	.	high shelf	audio out1	audio out1	sets master volume of module. as input gain rises, volume increases just like a typical distortion pedal. use output gain to compensate for this	sets master volume of module. as input gain rises, volume increases just like a typical distortion pedal. use output gain to compensate for this	audio out	*audio outR	output R	output R	output R	*audio out2	connect second audio input	*output right	*output right	@waveform 	output left	@waveform 	*audio out2	connect audio input	connect audio output
.	.	@Low Note 	.	.	.	.	.	.	.	.	.	.	Sends a single momentary pulse	.	.	adjusts the pulse width of the oscillator	connects amplified signal from audio in 1 to an audio destination	determines strength of resonant peak at cutoff frequency	determines center frequency of filter notch	.	outputs delayed audio	sends audio from one or two input tracks to output tracks depending on pan value. A value of 0 will pan hard to track 1 and a value of 100 will pan hard to track 2. A value of 50 is equal volume on both outputs	.	.	connect audio source to be balanced (right)	out L	.	outputs audio selected audio source	sends audio from input source if chosen by switch parameter	.	.	.	.	.	.	audio out	audio out	.	"outputs stereo enhanced audio ""mid"""	.	size of delay gap in samples	determines asymmetry of waveform. Apply negative CV for swing factors under 0	*ratchet out	release	.	.	.	.	.	.	.	@max rec time 	.	.	.	.	.	outputs selected CV source	if selected, outputs CV input	.	.	.	.	no modifier	.	sends incoming audio level as CV output	.	output L	*audio out2	audio out2	connect audio output	connect audio output	*audio outR	connect audio input	connect audio input	connect audio input	connect audio input	connect audio input	sets overall length of reverb tails	@control 	@control 	connect audio input	*output right	connect audio input	@filter type 	this jack will either generate a carrier frequency to modulate the input signal against, or bring in a second audio source to act as the carrier wave	connect second audio output
.	.	@High Note 	.	.	.	.	.	.	.	.	.	.	select how many notes you'd like your new keyboard to be. New buttons are added for each new note, all of which com out of the note out and gate out buttons.	.	.	output of audio signal generated by oscillator	connects amplified signal from audio in 2 to an audio destination	outputs audio filtered below cutoff frequency	determines width of filter notch	.	select maximum delay time from 100ms to 16s	outputs audio panned from track 1	.	.	connect second audio source to be balanced (left)	*out R	.	selects how many audio sources you'd like to switch between from 1-16. input jacks will be added for each source and the input select range from 0-1 will divide equally between them	selects how many audio outputs you'd like to switch between from 1-16. output jacks will be added for each output and the select range from 0-1 will divide equally between them	.	.	.	.	.	.	@max rec. time 	*audio outR	.	"outputs stereo enhanced audio ""side"""	.	modulation width in samples	determines the phase of the generated LFO waveform relative to its native starting point. Use in conjunction with phase reset to sync multiple LFOs with various phase relationships.	@# steps 	cv output	.	.	.	.	.	.	.	connect CV in to get looped	.	.	.	.	.	selects how many CV sources you'd like to switch between from 2-16. input parameters will be added for each source and the input select range from 0-1 will divide equally between them	selects how many CV outputs you'd like to switch from between from 2-16. output parameters will be added for each source and the output select range from 0-1 will divide equally between them	.	.	.	.	no modifier	.	determines curve of dB to CV interpretation. log is recommended for use with outside audio source, log or linear both work well with internally generated audio	.	*output R	connect audio input	@type 	choose between several flavours of distortion: plexi, germ, classic, or pushed	choose between several flavours of fuzz: efuzzy, burly, scoopy, or ugly	connect audio input	connect audio input	connect second audio input	connect second audio input	connect second audio input	connect second audio input	sets mix level from 0 (fully dry) to 100 (fully wet)	@# stages 	@type	connect second audio input	@control	connect second audio input	@direction 	adjusts the pulse width of the ring modulation	select cabinet type: 4x12 full, 2x12 dark, 2x12 modern, 1x12, 1x8 lofi, 1x12 vintage, or 4x12 hifi
.	.	detects played note as value from 0-1	.	.	.	.	.	.	.	.	.	.	.	.	.	select pattern of generated waveform from square, triangle, sawtooth, or sine wave	.	outputs audio filtered above cutoff frequency	outputs filtered audio	.	.	outputs audio panned from track 1 when 1 track mode selected, or audio panned from track 2 when stereo mode selected	.	.	connect second audio source to be balanced (right)	@# channels 	.	.	.	.	.	.	.	.	.	@playback 	@num grains	.	.	.	modulation rate in seconds	resets LFO back to its native starting point. Enable this parameter in multiple LFOs and connect a stomp, pushbutton, or other CV source to force them to sync up.	@# tracks 	@immediate R 	.	.	.	.	.	.	.	toggles between playback and record states. Push button to toggle between recording and playing loop. Alternatively, a rise in CV will trigger record, and a decrease will trigger playback	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect audio input	connect audio input	@tap ratio	.	.	connect second channel of audio input	sets the level at which the audio gate will open and close	length of time for reverberations to trail off	length of time for reverberations to trail off	length of time for reverberations to trail off	sets overall length of reverb tails	connect audio output	connect audio input	connect audio input	depending on how you set the control mode: dial in a rate, tap in a tempo, or connect a CV source	@type	depending on how you set the control mode: dial in a rate, tap in a tempo, or connect a CV source	connect audio input	mix controls the level of uneffected signal to modulated signal. go from fully dry to fully wet	.
.	.	detects played note on/off status	.	.	.	.	.	.	.	.	.	.	.	.	.	allows waveform to be generated at 2X sampling rate for better quality (higher CPU)	.	outputs band of audio within upper and lower limits of frequency cutoff	select output characteristic of filter between high pass, low pass, , band pass, bell, hi shelf, and low shelf	.	.	select the behaviour of the pan type between equal power, linear, and -4.5dB. Linear is the most basic, and will output a source at unity gain when it is hard panned, making the center position somewhat quieter than the source. Equal power uses a logarithmic taper to output unity gain across the sweep, resulting in a 3dB increase in the center position from Linear. -4.5dB is a mathematical compromise between the two.	.	.	sets the mix. 0 is all audio in1, 50 is equal parts both inputs, 100 is all audio2	@stereo 	.	.	.	.	.	.	.	.	.	@length	connects audio to be granulated	.	.	.	outputs modulated audio	CV output of LFO	@behaviour 	an increase in CV value will trigger the ADSR envelope. A plateau of CV at the input will hold the the CV output at the set sustain level	.	.	.	.	.	.	.	toggles between playback and stopped states. Push button to toggle between playing loop and stopping. Alternatively, a rise in CV will trigger playback, and a decrease will trigger stop	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect second audio input	click knob to cycle views of delay time. this jack acts as the tap tempo in when selected in control. connect stomp switch, pushbutton, LFO etc	connect audio input	.	.	input level at which compressor engages	once threshold is reached, sets the time it takes for audio gate to fully open. go from sharp and snappy to long and gentle	cuts or boosts low frequencies from wet signal	cuts or boosts low frequencies from wet signal	cuts or boosts low frequencies from wet signal	sets rate of ghostly modulation	connect second audio output	connect second audio input	connect second audio input	sets width of vibrato effect	connect audio input	depth of tremolo effect. go from subtle dips to complete silence during dips	connect second audio input	connect audio output	.
.	.	detects velocity of played note	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	balanced audio output (left)	@panning 	.	.	.	.	.	.	.	.	.	@hear	connects audio to be granulated	.	.	.	.	select waveform of oscillator: square, sine, triangle, sawtooth, ramp, or random (essentially a random number generator)	step will affect the value that's being sent out the output	a detected increase in CV value will retrigger the attack/decay of the envelope during a sustained note/CV input	.	.	.	.	.	.	.	adjusts speed of CV Loop playback	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust gain of all frequencies below X Hz	sets feedback in dB. Achieve self oscillation by going fully clockwise to 0db	connect audio input	.	.	time in which compressor reacts to incoming signal	once gate is fully open, sets time the time to close the gate once audio falls back below threshold	cuts or boosts high frequencies from wet signal	select cutoff point of high frequencies from wet signal	select cutoff point of high frequencies from wet signal	sets the resonance of ghostly modulation	.	depending on how you set the control mode: dial in a rate, tap in a tempo, or connect a CV source	depending on how you set the control mode: dial in a rate, tap in a tempo, or connect a CV source	connect audio output	connect second audio input (optional)	connect audio output	determines the sensitivity of the envelope to incoming audio levels	allows waveform to be generated at 2X sampling rate for better quality (higher CPU)	.
.	.	detects presence of played note as a single momentary pulse	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	balanced audio output (right)	connect audio source to be mixed (left)	.	.	.	.	.	.	.	.	.	@overdub 	determines length of time to sample to create individual grains	.	.	.	.	select oscillator frequency source. CV input allows you to dial it in with the knob or control with another source, trigger will interpret changes in CV as a tap tempo	step will affect the value that's being sent out the output	time between CV detection at the input and beginning of attack. Useful in adding blooming textures when using multiple voices/effects	.	.	.	.	.	.	.	determines starting point of playback of recorded CV signal. By changing this you can have your loop shortened by chopping off the beginning.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust gain of mid frequency 1	modulation rate in Hz	click knob to cycle views of delay time. this jack acts as the tap tempo in when selected in control. connect stomp switch, pushbutton, LFO etc	.	.	time in which compressor returns to its initial level once signal falls below threshold	modulation rate in Hz	sets mix level from 0 (fully dry) to 100 (fully wet)	sets mix level from 0 (fully dry) to 100 (fully wet)	sets mix level from 0 (fully dry) to 100 (fully wet)	sets mix level from 0 (fully dry) to 100 (fully wet)	.	phased signal can be fed back into input for resonance. dial this in from none all the way to self oscillation	sets width of modulation	connect second audio output	depending on how you set the control mode: dial in a rate, tap in a tempo, or connect a CV source	connect second audio output	determines the downward cutoff frequency of the envelope filter	.	.
.	.	determines which MIDI channel the module will read from	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect audio source to be mixed (right)	.	.	.	.	.	.	.	.	.	connects audio to be recorded by sampler	determines amount of time to elapse before playing back a sampled grain. when using granular as a delay, this parameter is your delay time. you can set it to be tap tempo in the edit options	.	.	.	.	.	step will affect the value that's being sent out the output	attack time of envelope. Go from short crisp starts to long slow fade-ins	.	.	.	.	.	.	.	determines maximum length of recorded CV signal played back. By changing this you can shorten the loop by chopping off the end.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust frequency of mid frequency 1	modulation depth as CV value. 	sets feedback in dB. Achieve self oscillation by going fully clockwise to 0db	.	.	determines how aggressive the gain reduction is	modulation depth as CV value	connect audio output	connect audio output	connect audio output	connect audio output	.	determines the width of the phased effect	a subtle tone control on the wet signal. from flat, negative values dial out high end and add warmth, while positive values cut bass and add highs	select waveform of vibrato pitch: sine, triangle, swung sine, or swung	sends some modulated effect back to the beginning of the flanger for added mojo. dial in a subtle shimmer all the way up to some mega self oscillating weirdness	select flavour of tremolo effect: fender'ish, vox'ish, triangle, sine, or square	determines the upward cutoff frequency of the filter	.	.
.	.	adds additional note and gate out outputs, and velocity and trigger outputs if selected,  for connecting simultaneously played midi notes. Select 1 note to build a monophonic synth, or add up to 8 notes per MIDI channel.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect second audio source to be mixed (left)	.	.	.	.	.	.	.	.	.	"in ""playback: once"" mode, this button triggers the beginning and the end of recording a loop. in ""playback: loop"" mode, this button cycles between recording start/overdub/play similar to a conventional looper pedal. try with both latching and momentary footswitch modules, or press with your finger"	works in conjunction with grain size to determine how many grains get created and played back	.	.	.	.	.	step will affect the value that's being sent out the output	time between peak of attack and start of decay during sustained note/CV input. Will hold the envelope at its peak for set duration	.	.	.	.	.	.	.	push button or send a CV increase to restart loop playback from the beginning of recorded loop	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust gain of mid frequency 2	wet to dry signal level. go from no audible delay at -inf dB to no audible dry signal at -0.00dB	modulation rate in Hz	.	.	connect an audio input from which to receive dynamic information	connect audio output	connect second audio output	connect second audio output	connect second audio output	connect second audio output	.	mix controls the level of uneffected signal to phased signal. go from fully dry to fully wet	mix controls the level of uneffected signal to modulated signal. go from fully dry to fully wet	.	sets width of flanger effect	.	determines the width of the filter notch	.	.
.	.	toggles behaviour of simultaneously played MIDI notes, when number of played notes exceeds number of MIDI note outputs present. Prioritize the newest, oldest, highest, or lowest played note.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect second audio source to be mixed (right)	.	.	.	.	.	.	.	.	.	"triggers loop to play back from the beginning. use this to replay a recorded loop again and again in ""playback: once"" mode."	shapes the fade in and fade out of each grain	.	.	.	.	.	minimum CV input that triggers the sequencer to engage steps in sequencer. apply CV over minimum to engage next step	decay time from peak of attack into sustain section. Go from abruptly stopped notes to gentle fades to the sustain level	.	.	.	.	.	.	.	outputs CV playback	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust frequency of mid frequency 2	connect audio output	modulation depth as CV value. 	.	.	connects audio compressed from input	.	.	.	.	.	.	connect audio output	connect audio output	.	a subtle tone control on the wet signal. from flat, negative values dial out high end and add warmth, while positive values cut bass and add highs	.	connect audio output	.	.
.	.	outputs are greedy for midi note inputs (all outputs will want to play)	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust gain of input 1	.	.	.	.	.	.	.	.	.	triggers a pause in the playback of a loop. send another trigger or press again to unpause at same location in the loop.	warps the playback speed and pitch of the grains	.	.	.	.	.	minimum CV input that triggers the sequencer to start its loop over. bring CV above queue start threshold during a step to start the sequencer back at step 1	"selects CV output level during sustained note/CV input. This can be thought of as the ""volume"" of your sustained notes"	.	.	.	.	.	.	.	.select maximum amount of time you'd like to be able to loop from 1s  4s	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust gain of all frequencies above X Hz	connect secondary audio output if present	wet to dry signal level. go from no audible delay at -inf dB to no audible dry signal at -0.00dB	.	.	connects audio compressed from input R	.	.	.	.	.	.	connect second audio output	connect second audio output	.	mix controls the level of uneffected signal to modulated signal. go from fully dry to fully wet	.	connect second audio output	.	.
.	.	determines lowest played note to receive	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust gain of input 2	.	.	.	.	.	.	.	.	.	determines speed and pitch profile of recording and loop playback, similar to recording to tape. the first loop is recorded at 100 percent by default. this parameter is also where the length option takes effect.	toggle between continuously running grains or freeze a continuous playback of a certain grain	.	.	.	.	.	CV type output will display steps as played notes or CV values. Click knob to change track type. Rotate knob to change track colour.	this variable will tack on additional time between sustain and release once the CV input stops receiving input. This can be useful in lining up fade outs when using multiple voices/effects	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect audio output	.	connect audio output	.	.	.	.	.	.	.	.	.	select control method over phaser. rate is the typical phaser pedal behaviour with an internal LFO, tap tempo allows you to connect a CV input to tap a tempo into the internal LFO, and CV direct will allow you to connect an external CV source to augment the phase directly. very cool!	select control method over chorus. rate is the typical chorus pedal behaviour with an internal LFO, tap tempo allows you to connect a CV input to tap a tempo into the internal LFO, and CV direct will allow you to connect an external CV source to augment the modulation directly. tubular!	.	connect audio output	.	select filter type: high pass filter, low pass filter, or band pass filter	.	.
.	.	determines highest played note to receive	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust pan of input 1	.	.	.	.	.	.	.	.	.	determines point in loop to start playback, when playback restarts, either when played as a result of natural looping or when triggered to do so by the restart playback button. note that this parameter presents itself as a value from 0s to the maximum length of time contained in that loop, so plan CV changes accordingly.	outputs granulated audio	.	.	.	.	.	 Gate type output will output an on/off status of the associated step. While output selected, steps can be assigned on/off status simply by pushing them. Click knob to change track type. Rotate knob to change track colour.	"""fade out"" time of envelope once sustain has been lifted. End notes abruptly or gently"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	connect second audio output	.	connect secondary audio output if present	.	.	.	.	.	.	.	.	.	select number of phasing stages. the fewer the stages, the more subtle and classic the phasing. more stages will result in a lusher effect	*work in progress*	.	connect second audio output	.	select direction of filter sweep: up or down	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	adjust pan of input 2	.	.	.	.	.	.	.	.	.	"determines duration of loop to playback, which will either end playback early in ""playback: once"" mode, or restart the loop early in ""playback: loop"". mode. the value of this module is represented by a time in seconds which is equal to the total loop duration minus the time chosen in the ""start position"" parameter, so that the duration of loop playback can never be longer than the originally recorded loop."	outputs granulated audio	.	.	.	.	.	Ratchet type output will divide the step's duration into a set number of divisions. Get your trap on! Click knob to change track type. Rotate knob to change track colour.	CV output of envelope	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	select character of delay line: clean, tape, old tape, or bbd	.	.	.	.	.	.	.	.	.	.	.	.	select control method over flanger. rate is the typical flanger pedal behaviour with an internal LFO, tap tempo allows you to connect a CV input to tap a tempo into the internal LFO, and CV direct will allow you to connect an external CV source to augment the modulation directly. far out!	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	mixed audio output (left)	.	.	.	.	.	.	.	.	.	determines if looper is recording, overdubbing, or playing back in a forward or reverse trajectory. press button to toggle state or control with latching or momentary footswitch	determine how many of the same grain to string together from 1-8	.	.	.	.	.	select number of steps from 1-32. sequencer will consume a button for each step so make sure you have room	if note/CV input is not held until attack reaches its peak,                                             ON: immediate release will skip sustain section and release immediately. If hold sustain release parameter is present, this will also function                                                                 OFF: envelope will travel to the top of the attack and carry the CV output through the envelope as set up by the user	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	when using tap tempo control mode, this option determines the ratio of repeats per tap cycle	.	.	.	.	.	.	.	.	.	.	.	.	select between three different flavours of flanger: 1960s, 1970s, and thru-0	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	mixed audio output (right)	.	.	.	.	.	.	.	.	.	outputs audio playback 	.	.	.	.	.	.	select number of tracks from 1-8. sequencer will add a button for each track output	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	select how many channels you wish to mix, 2 through 8. New inputs will be added for each channel	.	.	.	.	.	.	.	.	.	choose how much audio you'd like to be able to sample from 1s to 16s	.	.	.	.	.	.	select if you'd like your sequencer to play continuously or only when it's triggered to do so. Sequencer can be triggered by be queue start module (restart jack)	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	select if you'd like a mono or stereo mixer. New inputs and outputs will be added for the left and right sides.	.	.	.	.	.	.	.	.	.	select if your loop will playback continuously or just once when triggered. During continuous playback, triggering the sampler to begin recording again will halt playback	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	toggles the presence of a pan control. Note that in mono mode, the pan control doesn't do anything	.	.	.	.	.	.	.	.	.	Fixed plays back your loop and plays it back for its original duration, regardless of playback speed, this can leave gaps or cut off your loop. Pre-speed plays back your loop for its full duration, regardless if you've sped it up or slowed it down.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"""on"" will allow original audio to pass through the looper as you're recording it"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	"""yes"" will add a loop reset trigger, and allow the looper to overdub additional layers of audio over the original loop"	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
